latitude;longitude;start_time(YYYYMMddHHmmZ);duration(ms)
51.214294;4.411574;201403071847+0100;47982721
51.212467;4.416723;201403080814+0100;872
51.210533;4.414461;201403080823+0100;3409
51.211082;4.4118104;201403080835+0100;3195
51.214283;4.41154;201403080857+0100;19563134
51.214848;4.4090633;201403081428+0100;726017
51.214268;4.4115677;201403081449+0100;14955630
51.212337;4.3577657;201403081905+0100;343020
51.212337;4.3577657;201403081915+0100;1062003
51.057003;3.714637;201403081947+0100;48930574
51.053837;3.7184224;201403090930+0100;255666
51.053955;3.7209287;201403090940+0100;1900994
51.053955;3.7209291;201403091017+0100;203009
51.053955;3.720929;201403091027+0100;247903
51.05387;3.7183366;201403091037+0100;601064
51.055416;3.7151594;201403091057+0100;373333
51.05535;3.7143385;201403091110+0100;2013368
51.056263;3.7145565;201403091149+0100;8006164
51.057274;3.7249584;201403091413+0100;404003
51.0571;3.726063;201403091424+0100;10895441
51.055218;3.7219634;201403091735+0100;167488
51.057056;3.7145045;201403091749+0100;2030843
51.034416;3.7383232;201403091843+0100;96969
51.062347;3.8686697;201403091851+0100;630602
51.214264;4.4116144;201403091916+0100;45485957
51.207123;4.3870163;201403100809+0100;11077711
51.206303;4.387111;201403101123+0100;211689
51.2071;4.3869624;201403101133+0100;3388700
51.208305;4.3898816;201403101234+0100;182663
51.207954;4.3886595;201403101245+0100;570321
51.207127;4.3870583;201403101302+0100;17607604
51.211563;4.401777;201403101808+0100;495121
51.21431;4.411553;201403101824+0100;48272635
51.207157;4.3869753;201403110804+0100;10527269
51.208454;4.387382;201403111106+0100;64969
51.2072;4.3869376;201403111116+0100;2785931
51.20715;4.3869214;201403111207+0100;25211718
51.214256;4.4115777;201403111925+0100;42942371
51.207226;4.387041;201403120737+0100;36593170
51.214268;4.4116197;201403121757+0100;924860
51.557373;5.0910926;201403122145+0100;1889676
51.400383;4.7285247;201403122242+0100;1272
51.317875;4.5757413;201403122249+0100;39956
51.268486;4.488132;201403122256+0100;187280
51.214264;4.411574;201403122313+0100;29263746
51.20721;4.3870206;201403130736+0100;10238801
51.2071;4.3871493;201403131033+0100;4010448
51.20851;4.3925247;201403131147+0100;4462429
51.209484;4.3900976;201403131306+0100;60963
51.20711;4.387063;201403131314+0100;31278306
51.214245;4.4115777;201403132210+0100;33471782
51.207085;4.387189;201403140749+0100;37291359
51.20607;4.393761;201403141819+0100;250162
51.198574;4.436263;201403141830+0100;238457
51.19975;4.5876904;201403141840+0100;65219
51.10348;4.8696537;201403141901+0100;193
51.02376;4.840315;201403141914+0100;90103
50.997234;4.802332;201403141920+0100;12648569
51.206467;4.55807;201403142327+0100;59834
51.215614;4.413671;201403142346+0100;218
51.214252;4.4115868;201403142352+0100;12508055
51.21426;4.4115963;201403150328+0100;46848335
51.216328;4.4104295;201403151635+0100;539024
51.214268;4.411565;201403151652+0100;61154797
51.21353;4.404816;201403160959+0100;489978
51.21426;4.4115763;201403161017+0100;8491341
51.205738;4.3920345;201403161247+0100;330485
51.262363;4.433858;201403161258+0100;391095
51.30922;4.557287;201403161311+0100;204502
51.58649;4.7787757;201403161338+0100;7812954
51.586678;4.778821;201403161703+0100;680173
51.560432;4.820035;201403161721+0100;115358
51.461765;4.7245545;201403161728+0100;185296
51.352573;4.6273565;201403161735+0100;179612
51.29356;4.524383;201403161743+0100;214246
51.204933;4.3907986;201403161756+0100;103701
51.21426;4.4115763;201403161806+0100;47602408
51.207085;4.387182;201403170738+0100;12370874
51.208324;4.3873835;201403171110+0100;485574
51.20702;4.3872375;201403171126+0100;23392970
51.214256;4.4115996;201403171808+0100;984410
51.215897;4.4091616;201403171832+0100;3900114
51.214275;4.411576;201403171942+0100;16107591
51.214275;4.411586;201403180017+0100;22567284
51.211456;4.414267;201403180651+0100;6397
51.21253;4.4159446;201403180657+0100;6294
51.21266;4.415011;201403180706+0100;5079
51.214264;4.4115734;201403180716+0100;2789598
51.207077;4.3872066;201403180820+0100;36426948
51.214256;4.4115663;201403181837+0100;49736513
51.20706;4.3871145;201403190841+0100;3272801
51.20707;4.3870754;201403190944+0100;35094801
51.214275;4.411575;201403191941+0100;56964894
51.21693;4.400865;201403201145+0100;1473
51.21684;4.3999686;201403201152+0100;2755024
51.21693;4.4010158;201403201244+0100;397
51.20706;4.387065;201403201256+0100;22037042
51.21427;4.4115567;201403201915+0100;44881186
51.207115;4.387089;201403210807+0100;32856811
51.1903;4.412055;201403211735+0100;145797
51.21116;4.490031;201403211744+0100;5995
51.156372;4.8206773;201403211757+0100;178
50.984818;4.83532;201403211830+0100;2690374
50.984818;4.835271;201403211922+0100;5550687
50.98715;4.838596;201403212059+0100;3490
50.98661;4.837382;201403212106+0100;157358
50.98718;4.8389244;201403212113+0100;8856374
51.145073;4.8595767;201403220009+0100;181048
51.216618;4.4135804;201403220033+0100;286
51.21423;4.4115705;201403220039+0100;53344915
51.21059;4.414138;201403221542+0100;59558
51.211952;4.41568;201403221555+0100;58444
51.211052;4.4129686;201403221607+0100;59370
51.21421;4.411599;201403221619+0100;3989547
51.21735;4.411098;201403221734+0100;552169
51.214203;4.411587;201403221751+0100;1800663
51.24464;4.4193125;201403221844+0100;65927
51.244644;4.419118;201403221850+0100;220964
51.24565;4.4167747;201403221900+0100;2159892
51.246044;4.41684;201403221942+0100;8403907
51.21421;4.4115853;201403222220+0100;44265668
51.213646;4.4046073;201403231045+0100;384732
51.214188;4.4115252;201403231101+0100;14724392
51.21599;4.4128184;201403231511+0100;771012
51.216457;4.4077277;201403231529+0100;120185
51.217514;4.4039993;201403231535+0100;1095
51.21772;4.4004607;201403231542+0100;2770
51.219296;4.4014406;201403231549+0100;5084486
51.217167;4.4040475;201403231720+0100;209382
51.21638;4.409415;201403231730+0100;61786
51.21436;4.411226;201403231737+0100;52019895
51.2098;4.3953257;201403240809+0100;63412
51.20819;4.389298;201403240815+0100;153150
51.20708;4.387111;201403240822+0100;33148501
51.2069;4.3872433;201403241742+0100;88675
51.206314;4.387118;201403241749+0100;157
51.212265;4.393786;201403241756+0100;3045
51.210888;4.4075365;201403241802+0100;633
