latitude;longitude;start_time(YYYYMMddHHmmZ);duration(ms)
51.213375;4.4107423;201401101718+0100;962
51.214268;4.4116096;201401101724+0100;3755218
51.206665;4.391356;201401101841+0100;11167726
51.21426;4.411516;201401102159+0100;32837451
51.21426;4.4116135;201401110710+0100;14504744
51.217598;4.4111724;201401111118+0100;1184409
51.216854;4.410833;201401111144+0100;119044
51.214302;4.4115267;201401111155+0100;7716381
51.213627;4.41104;201401111409+0100;1479393
51.213295;4.4091907;201401111439+0100;1051297
51.214268;4.4116044;201401111503+0100;15272498
51.21427;4.4116316;201401111921+0100;45246570
51.21426;4.411604;201401120759+0100;8032900
51.21381;4.4043183;201401121019+0100;1269642
51.214268;4.4115953;201401121050+0100;18921702
51.214252;4.4115677;201401121616+0100;7393535
51.244602;4.418736;201401121835+0100;2470
51.245247;4.415875;201401121842+0100;994891
51.24589;4.417088;201401121905+0100;557667
51.24581;4.416615;201401121920+0100;187025
51.246307;4.417327;201401121929+0100;5385026
51.24581;4.4171715;201401122104+0100;5464298
51.21426;4.4115944;201401122252+0100;10403748
51.214245;4.411587;201401130152+0100;5997578
51.214245;4.4116025;201401130335+0100;19282222
51.207916;4.402948;201401130907+0100;94723
51.125263;4.4296446;201401130923+0100;67212
51.0352;4.4437027;201401130930+0100;62502
51.01285;4.4511013;201401130936+0100;8374
50.868217;4.4530015;201401130946+0100;154929
50.891277;4.4506893;201401131000+0100;7984169
50.88208;4.448717;201401131223+0100;399330
51.041637;4.4542537;201401131236+0100;67448
51.21634;4.394065;201401131249+0100;24933381
51.21427;4.411598;201401131955+0100;43630481
51.21632;4.3941574;201401140815+0100;32304020
51.214237;4.4116335;201401141720+0100;625339
51.19335;4.3991604;201401141740+0100;377433
51.211174;4.4790525;201401141751+0100;675342
51.08473;4.8591003;201401141811+0100;155991
50.9971;4.802326;201401141828+0100;140413
50.997208;4.802322;201401141834+0100;11449669
51.140453;4.8614025;201401142212+0100;214704
51.20001;4.595795;201401142222+0100;2449
51.21422;4.4115844;201401142237+0100;33953174
